"","x"
"1-18-17",7933
"1-19-18",9660
"1-4-17",7517
"1-5-18",7428
"10-11-17",9389
"10-12-16",1460
"10-26-16",2302
"10-27-17",8333
"11-10-17",9474
"11-22-16",4266
"11-24-17",12873
"11-9-16",5808
"12-21-16",11688
"12-22-17",8040
"12-7-16",3336
"12-8-17",9079
"2-1-17",6521
"2-15-17",8073
"2-16-18",5569
"2-2-18",7374
"3-1-17",8695
"3-15-17",6478
"3-16-18",7394
"3-2-18",7928
"3-29-17",5285
"4-12-17",6892
"4-13-18",7836
"4-26-17",5123
"4-27-18",2279
"4-3-18",8424
"5-10-17",9824
"5-11-18",8162
"5-23-18",7875
"5-24-17",3669
"6-21-17",7746
"6-7-17",6927
"6-8-18",6354
"7-19-17",5877
"7-5-17",6522
"8-16-17",7187
"8-2-17",5057
"8-30-16",17602
"8-30-17",6487
"9-13-16",945
"9-13-17",8928
"9-27-17",7985
"9-28-16",3053
"blankA",5463
"blankB",2179
"blankC",577
"blankD",9206
"blankE",3128
"blankF",2887
"Cu-2-17",11841
"Cu-2-20",7321
"Cu-2-21",5855
"Cu-2-22",7551
"Cu-2-23",7343
"Cu-2-24",14011
"Cu-2-25",7493
"Cu-2-26",5680
"Cu-2-27",9410
"Cu-2-28",8623
"Cu-3-06",6800
"Cu-3-13",7883
"Cu-3-21",4312
"Cu-3-24",6782
"Cu-3-25",8990
"Cu-3-26",9512
"Cu-3-27",9523
"Cu-4-03",6726
"Cu-4-10",10058
"Cu-4-17",12797
"Cu-4-24",8449
"Cu-5-01",5833
"Cu-5-08",12305
